Tanggal,Hari,Beban
2023-05-15,Sen,52206.62
2023-05-16,Sel,54487.02
2023-05-17,Rab,53473.33
2023-05-18,Kam,41258.8
2023-05-19,Jum,45928.81
2023-05-20,Sab,43336.58
2023-05-21,Min,41583.0
2023-05-22,Sen,52124.39
2023-05-23,Sel,53596.06
2023-05-24,Rab,52442.01
2023-05-25,Kam,52364.86
2023-05-26,Jum,50874.8
2023-05-27,Sab,41206.6
2023-05-28,Min,37507.37
2023-05-29,Sen,38695.0
2023-05-30,Sel,49582.81
2023-05-31,Rab,51817.24
2023-06-01,Kam,52669.18
2023-06-02,Jum,50657.92
2023-06-03,Sab,42175.53
2023-06-04,Min,39707.05
2023-06-05,Sen,50209.14
2023-06-06,Sel,51650.39
2023-06-07,Rab,51150.28
2023-06-08,Kam,44507.21
2023-06-09,Jum,47747.95
2023-06-10,Sab,44131.68
2023-06-11,Min,41877.4
2023-06-12,Sen,52769.01
2023-06-13,Sel,53181.99
2023-06-14,Rab,52625.39
2023-06-15,Kam,52355.26
2023-06-16,Jum,51592.82
2023-06-17,Sab,43465.95
2023-06-18,Min,41290.67
2023-06-19,Sen,52520.04
2023-06-20,Sel,54130.77
2023-06-21,Rab,54594.76
2023-06-22,Kam,53781.61
2023-06-23,Jum,51731.73
2023-06-24,Sab,42983.67
2023-06-25,Min,40705.57
2023-06-26,Sen,52964.63
2023-06-27,Sel,53303.26
2023-06-28,Rab,52779.47
2023-06-29,Kam,53128.36
2023-06-30,Jum,51512.36
2023-07-01,Sab,44058.58
2023-07-02,Min,42153.44
2023-07-03,Sen,53001.7
2023-07-04,Sel,53622.73
2023-07-05,Rab,53894.41
2023-07-06,Kam,52058.74
2023-07-07,Jum,50683.44
2023-07-08,Sab,43580.17
2023-07-09,Min,41989.88
2023-07-10,Sen,52622.83
2023-07-11,Sel,53374.54
2023-07-12,Rab,53358.23
2023-07-13,Kam,52625.16
2023-07-14,Jum,50897.58
2023-07-15,Sab,45054.88
2023-07-16,Min,41116.17
2023-07-17,Sen,51621.9
2023-07-18,Sel,51956.11
2023-07-19,Rab,51467.97
2023-07-20,Kam,51565.22
2023-07-21,Jum,49643.49
2023-07-22,Sab,41960.78
2023-07-23,Min,41084.87
2023-07-24,Sen,51136.16
2023-07-25,Sel,51010.99
2023-07-26,Rab,50648.6
2023-07-27,Kam,51138.94
2023-07-28,Jum,50041.69
2023-07-29,Sab,42521.15
2023-07-30,Min,40054.23
2023-07-31,Sen,50693.78
2023-08-01,Sel,51086.9
2023-08-02,Rab,52120.14
2023-08-03,Kam,51733.04
2023-08-04,Jum,49336.44
2023-08-05,Sab,41477.5
2023-08-06,Min,40784.61
2023-08-07,Sen,50682.45
2023-08-08,Sel,50926.42
2023-08-09,Rab,51058.39
2023-08-10,Kam,50347.44
2023-08-11,Jum,49218.04
2023-08-12,Sab,43778.06
2023-08-13,Min,40176.34
2023-08-14,Sen,49895.29
2023-08-15,Sel,50317.03
2023-08-16,Rab,50876.0
2023-08-17,Kam,51807.77
2023-08-18,Jum,50742.68
2023-08-19,Sab,44145.79
2023-08-20,Min,40889.58
2023-08-21,Sen,51642.92
2023-08-22,Sel,52168.47
2023-08-23,Rab,51735.79
2023-08-24,Kam,52625.02
2023-08-25,Jum,52015.86
2023-08-26,Sab,43587.88
2023-08-27,Min,40799.97
2023-08-28,Sen,51128.35
2023-08-29,Sel,52146.33
2023-08-30,Rab,51660.38
2023-08-31,Kam,52084.77
2023-09-01,Jum,51690.78
2023-09-02,Sab,42865.01
2023-09-03,Min,40672.6
2023-09-04,Sen,50613.24
2023-09-05,Sel,52330.22
2023-09-06,Rab,52546.59
2023-09-07,Kam,53044.87
2023-09-08,Jum,51851.66
2023-09-09,Sab,44230.41
2023-09-10,Min,41498.51
2023-09-11,Sen,52756.19
2023-09-12,Sel,54618.05
2023-09-13,Rab,54719.99
2023-09-14,Kam,52816.36
2023-09-15,Jum,51420.14
2023-09-16,Sab,43767.16
2023-09-17,Min,41552.79
2023-09-18,Sen,53678.92
2023-09-19,Sel,52792.83
2023-09-20,Rab,52792.81
2023-09-21,Kam,54367.93
2023-09-22,Jum,52135.57
2023-09-23,Sab,43729.12
2023-09-24,Min,40282.46
2023-09-25,Sen,51895.79
2023-09-26,Sel,52840.36
2023-09-27,Rab,53226.04
2023-09-28,Kam,53704.12
2023-09-29,Jum,52842.1
2023-09-30,Sab,44322.01
2023-10-01,Min,40699.94
2023-10-02,Sen,47205.22
2023-10-03,Sel,44329.12
2023-10-04,Rab,53493.05
2023-10-05,Kam,54916.4
2023-10-06,Jum,53804.19
2023-10-07,Sab,45855.74
2023-10-08,Min,42086.53
2023-10-09,Sen,53875.39
2023-10-10,Sel,54974.77
2023-10-11,Rab,55444.02
2023-10-12,Kam,56174.34
2023-10-13,Jum,54500.54
2023-10-14,Sab,46460.04
2023-10-15,Min,45412.28
2023-10-16,Sen,55623.79
2023-10-17,Sel,56613.78
2023-10-18,Rab,57641.26
2023-10-19,Kam,58310.24
2023-10-20,Jum,56992.08
2023-10-21,Sab,46946.57
2023-10-22,Min,45052.79
2023-10-23,Sen,55893.27
2023-10-24,Sel,57941.16
2023-10-25,Rab,57346.5
2023-10-26,Kam,58121.26
2023-10-27,Jum,56398.71
2023-10-28,Sab,47443.89
2023-10-29,Min,46953.38
2023-10-30,Sen,54501.24
2023-10-31,Sel,54233.7
2023-11-01,Rab,49852.24
2023-11-02,Kam,57650.68
2023-11-03,Jum,56486.92
2023-11-04,Sab,49974.14
2023-11-05,Min,46771.77
2023-11-06,Sen,58599.5
2023-11-07,Sel,59691.13
2023-11-08,Rab,60458.1
2023-11-09,Kam,60461.43
2023-11-10,Jum,58705.11
2023-11-11,Sab,49603.79
2023-11-12,Min,47224.65
2023-11-13,Sen,59034.36
2023-11-14,Sel,60038.28
2023-11-15,Rab,60117.33
2023-11-16,Kam,60691.4
2023-11-17,Jum,59507.47
2023-11-18,Sab,50914.1
2023-11-19,Min,48368.34
2023-11-20,Sen,58067.64
2023-11-21,Sel,60411.85
2023-11-22,Rab,61160.21
2023-11-23,Kam,61826.13
2023-11-24,Jum,60969.2
2023-11-25,Sab,52861.22
2023-11-26,Min,49344.82
2023-11-27,Sen,61765.09
2023-11-28,Sel,64122.27
2023-11-29,Rab,64321.98
2023-11-30,Kam,63518.0
2023-12-01,Jum,62677.4
2023-12-02,Sab,54682.36
2023-12-03,Min,52232.95
2023-12-04,Sen,64506.23
2023-12-05,Sel,65181.19
2023-12-06,Rab,64301.4
2023-12-07,Kam,62953.8
2023-12-08,Jum,62011.46
2023-12-09,Sab,52615.39
2023-12-10,Min,49600.51
2023-12-11,Sen,59545.84
2023-12-12,Sel,60135.22
2023-12-13,Rab,61214.26
2023-12-14,Kam,59734.18
2023-12-15,Jum,58770.32
2023-12-16,Sab,52212.39
2023-12-17,Min,49775.3
2023-12-18,Sen,60426.8
2023-12-19,Sel,60662.13
2023-12-20,Rab,58981.15
2023-12-21,Kam,57767.7
2023-12-22,Jum,55678.45
2023-12-23,Sab,49799.58
2023-12-24,Min,45616.94
2023-12-25,Sen,44065.95
2023-12-26,Sel,44948.52
2023-12-27,Rab,48300.34
2023-12-28,Kam,50188.78
2023-12-29,Jum,49397.54
2023-12-30,Sab,45884.45
2023-12-31,Min,43904.09
