Tanggal,Hari,Beban
2021-10-01,Jum,59274.98
2021-10-02,Sab,50355.38
2021-10-03,Min,49613.18
2021-10-04,Sen,58377.84
2021-10-05,Sel,60371.39
2021-10-06,Rab,59955.79
2021-10-07,Kam,58937.48
2021-10-08,Jum,57610.33
2021-10-09,Sab,49860.67
2021-10-10,Min,47906.86
2021-10-11,Sen,60725.35
2021-10-12,Sel,62556.83
2021-10-13,Rab,61858.11
2021-10-14,Kam,63167.07
2021-10-15,Jum,62196.4
2021-10-16,Sab,52746.14
2021-10-17,Min,49449.43
2021-10-18,Sen,60152.89
2021-10-19,Sel,63010.04
2021-10-20,Rab,64122.23
2021-10-21,Kam,64808.91
2021-10-22,Jum,63396.25
2021-10-23,Sab,53037.26
2021-10-24,Min,49829.39
2021-10-25,Sen,61699.84
2021-10-26,Sel,63351.07
2021-10-27,Rab,63872.24
2021-10-28,Kam,62814.99
2021-10-29,Jum,61474.58
2021-10-30,Sab,52948.91
2021-10-31,Min,49193.07
2021-11-01,Sen,54229.76
2021-11-02,Sel,60390.16
2021-11-03,Rab,61554.31
2021-11-04,Kam,64913.33
2021-11-05,Jum,63996.36
2021-11-06,Sab,55435.83
2021-11-07,Min,53250.06
2021-11-08,Sen,62575.99
2021-11-09,Sel,64645.24
2021-11-10,Rab,64979.71
2021-11-11,Kam,62424.49
2021-11-12,Jum,61759.31
2021-11-13,Sab,54592.19
2021-11-14,Min,49026.9
2021-11-15,Sen,60986.97
2021-11-16,Sel,61906.8
2021-11-17,Rab,63450.12
2021-11-18,Kam,64352.34
2021-11-19,Jum,62716.89
2021-11-20,Sab,55884.18
2021-11-21,Min,53032.79
2021-11-22,Sen,64492.93
2021-11-23,Sel,64955.64
2021-11-24,Rab,64498.14
2021-11-25,Kam,66682.67
2021-11-26,Jum,65663.89
2021-11-27,Sab,56971.33
2021-11-28,Min,53754.95
2021-11-29,Sen,66171.76
2021-11-30,Sel,70035.94
2021-12-01,Rab,69266.71
2021-12-02,Kam,69350.51
2021-12-03,Jum,69425.34
2021-12-04,Sab,58205.19
2021-12-05,Min,54917.94
2021-12-06,Sen,66349.28
2021-12-07,Sel,68428.82
2021-12-08,Rab,68932.48
2021-12-09,Kam,66820.94
2021-12-10,Jum,65411.52
2021-12-11,Sab,57458.07
2021-12-12,Min,55009.45
2021-12-13,Sen,64282.62
2021-12-14,Sel,65458.26
2021-12-15,Rab,65873.7
2021-12-16,Kam,64989.34
2021-12-17,Jum,62884.55
2021-12-18,Sab,57063.54
2021-12-19,Min,54516.04
2021-12-20,Sen,62053.17
2021-12-21,Sel,62001.63
2021-12-22,Rab,62494.11
2021-12-23,Kam,60372.69
2021-12-24,Jum,51993.39
2021-12-25,Sab,48377.82
2021-12-26,Min,49627.27
2021-12-27,Sen,56073.25
2021-12-28,Sel,55921.58
2021-12-29,Rab,52632.66
2021-12-30,Kam,54005.08
2021-12-31,Jum,50329.72
2022-01-01,Sab,44698.73
2022-01-02,Min,49183.25
2022-01-03,Sen,60272.27
2022-01-04,Sel,61720.0
2022-01-05,Rab,65085.41
2022-01-06,Kam,61192.54
2022-01-07,Jum,64138.19
2022-01-08,Sab,57726.86
2022-01-09,Min,54614.09
2022-01-10,Sen,64272.99
2022-01-11,Sel,65802.32
2022-01-12,Rab,66324.73
2022-01-13,Kam,68314.23
2022-01-14,Jum,66658.53
2022-01-15,Sab,56244.61
2022-01-16,Min,56179.27
2022-01-17,Sen,67683.19
2022-01-18,Sel,65764.98
2022-01-19,Rab,68711.16
2022-01-20,Kam,69707.76
2022-01-21,Jum,68396.29
2022-01-22,Sab,57173.59
2022-01-23,Min,52906.72
2022-01-24,Sen,64697.65
2022-01-25,Sel,66555.76
2022-01-26,Rab,68460.72
2022-01-27,Kam,69172.2
2022-01-28,Jum,67157.48
2022-01-29,Sab,58831.71
2022-01-30,Min,53823.04
2022-01-31,Sen,67678.44
2022-02-01,Sel,69436.59
2022-02-02,Rab,67064.6
2022-02-03,Kam,66285.67
2022-02-04,Jum,65782.59
2022-02-05,Sab,58130.91
2022-02-06,Min,56166.14
2022-02-07,Sen,66426.59
2022-02-08,Sel,67651.15
2022-02-09,Rab,66082.06
2022-02-10,Kam,65382.98
2022-02-11,Jum,65877.81
2022-02-12,Sab,57242.48
2022-02-13,Min,54165.94
2022-02-14,Sen,65499.84
2022-02-15,Sel,66691.98
2022-02-16,Rab,67018.65
2022-02-17,Kam,66201.46
2022-02-18,Jum,63990.66
2022-02-19,Sab,56648.8
2022-02-20,Min,53703.61
2022-02-21,Sen,65924.92
2022-02-22,Sel,66360.44
2022-02-23,Rab,64854.28
2022-02-24,Kam,66583.44
2022-02-25,Jum,65797.94
2022-02-26,Sab,54098.2
2022-02-27,Min,51813.18
2022-02-28,Sen,62349.68
2022-03-01,Sel,64118.91
2022-03-02,Rab,63445.4
2022-03-03,Kam,63312.56
2022-03-04,Jum,63036.53
2022-03-05,Sab,54797.81
2022-03-06,Min,51713.49
2022-03-07,Sen,62497.31
2022-03-08,Sel,63004.59
2022-03-09,Rab,62304.53
2022-03-10,Kam,62736.59
2022-03-11,Jum,63142.84
2022-03-12,Sab,53924.02
2022-03-13,Min,50361.74
2022-03-14,Sen,61383.27
2022-03-15,Sel,62015.41
2022-03-16,Rab,62174.96
2022-03-17,Kam,63168.94
2022-03-18,Jum,60782.38
2022-03-19,Sab,53827.04
2022-03-20,Min,51039.5
2022-03-21,Sen,60249.74
2022-03-22,Sel,60008.28
2022-03-23,Rab,59700.18
2022-03-24,Kam,59353.68
2022-03-25,Jum,58612.54
2022-03-26,Sab,51062.91
2022-03-27,Min,47223.19
2022-03-28,Sen,59226.71
2022-03-29,Sel,60129.1
2022-03-30,Rab,60653.57
2022-03-31,Kam,63316.35
2022-04-01,Jum,65421.88
2022-04-02,Sab,55322.95
2022-04-03,Min,50859.85
2022-04-04,Sen,64295.89
2022-04-05,Sel,63737.81
2022-04-06,Rab,63478.59
2022-04-07,Kam,64395.4
2022-04-08,Jum,61910.35
2022-04-09,Sab,54264.71
2022-04-10,Min,50518.02
2022-04-11,Sen,58734.9
2022-04-12,Sel,59255.76
2022-04-13,Rab,57702.22
2022-04-14,Kam,56269.82
2022-04-15,Jum,46660.74
2022-04-16,Sab,46903.86
2022-04-17,Min,43020.19
2022-04-18,Sen,43576.89
2022-04-19,Sel,55770.04
2022-04-20,Rab,57836.65
2022-04-21,Kam,58576.79
2022-04-22,Jum,58084.23
2022-04-23,Sab,50102.76
2022-04-24,Min,48228.8
2022-04-25,Sen,57707.13
2022-04-26,Sel,58714.42
2022-04-27,Rab,57780.1
2022-04-28,Kam,57387.32
2022-04-29,Jum,56194.44
2022-04-30,Sab,48251.77
2022-05-01,Min,43821.29
2022-05-02,Sen,55952.39
2022-05-03,Sel,57442.43
2022-05-04,Rab,57203.35
2022-05-05,Kam,57689.11
2022-05-06,Jum,56433.64
2022-05-07,Sab,48464.48
2022-05-08,Min,44752.81
2022-05-09,Sen,56750.83
2022-05-10,Sel,59242.9
2022-05-11,Rab,58818.21
2022-05-12,Kam,58480.21
2022-05-13,Jum,57775.45
2022-05-14,Sab,48289.2
2022-05-15,Min,44571.58
2022-05-16,Sen,57569.72
2022-05-17,Sel,58448.05
2022-05-18,Rab,58840.92
2022-05-19,Kam,58586.99
2022-05-20,Jum,57501.09
2022-05-21,Sab,49405.08
2022-05-22,Min,43801.47
2022-05-23,Sen,57254.09
2022-05-24,Sel,57447.97
2022-05-25,Rab,55540.96
2022-05-26,Kam,46762.0
2022-05-27,Jum,51743.24
2022-05-28,Sab,47756.26
2022-05-29,Min,44230.22
2022-05-30,Sen,55421.96
2022-05-31,Sel,55978.23
2022-06-01,Rab,55357.33
2022-06-02,Kam,55782.62
2022-06-03,Jum,54606.04
2022-06-04,Sab,45557.99
2022-06-05,Min,42084.05
2022-06-06,Sen,43932.35
2022-06-07,Sel,54765.46
2022-06-08,Rab,55521.4
2022-06-09,Kam,56034.56
2022-06-10,Jum,54369.95
2022-06-11,Sab,46924.13
2022-06-12,Min,44143.85
2022-06-13,Sen,55324.76
2022-06-14,Sel,55184.04
2022-06-15,Rab,54385.92
2022-06-16,Kam,48474.1
2022-06-17,Jum,51413.21
2022-06-18,Sab,47473.16
2022-06-19,Min,45098.94
2022-06-20,Sen,55053.14
2022-06-21,Sel,55808.06
2022-06-22,Rab,55497.58
2022-06-23,Kam,55702.93
2022-06-24,Jum,55813.03
2022-06-25,Sab,46447.69
2022-06-26,Min,43700.4
2022-06-27,Sen,55296.78
2022-06-28,Sel,55031.94
2022-06-29,Rab,55631.49
2022-06-30,Kam,56515.1
2022-07-01,Jum,54771.73
2022-07-02,Sab,46494.78
2022-07-03,Min,44186.99
2022-07-04,Sen,54675.9
2022-07-05,Sel,55915.12
2022-07-06,Rab,55606.81
2022-07-07,Kam,57640.63
2022-07-08,Jum,54858.41
2022-07-09,Sab,47096.75
2022-07-10,Min,44710.1
2022-07-11,Sen,53262.69
2022-07-12,Sel,54121.55
2022-07-13,Rab,56285.93
2022-07-14,Kam,55985.67
2022-07-15,Jum,54091.02
2022-07-16,Sab,46687.7
2022-07-17,Min,42684.76
2022-07-18,Sen,52888.89
2022-07-19,Sel,55150.26
2022-07-20,Rab,57216.83
2022-07-21,Kam,55555.4
2022-07-22,Jum,53083.52
2022-07-23,Sab,45415.54
2022-07-24,Min,43129.23
2022-07-25,Sen,55741.26
2022-07-26,Sel,54322.52
2022-07-27,Rab,53348.93
2022-07-28,Kam,53749.06
2022-07-29,Jum,52781.02
2022-07-30,Sab,44038.54
2022-07-31,Min,42189.42
2022-08-01,Sen,52294.47
2022-08-02,Sel,53019.96
2022-08-03,Rab,53807.95
2022-08-04,Kam,54178.51
2022-08-05,Jum,53215.05
2022-08-06,Sab,45139.22
2022-08-07,Min,41578.04
2022-08-08,Sen,51323.82
2022-08-09,Sel,52417.93
2022-08-10,Rab,52674.18
2022-08-11,Kam,52650.05
2022-08-12,Jum,51443.78
2022-08-13,Sab,44511.07
2022-08-14,Min,43372.39
2022-08-15,Sen,51530.71
2022-08-16,Sel,52656.11
2022-08-17,Rab,53365.39
2022-08-18,Kam,53796.76
2022-08-19,Jum,51974.37
2022-08-20,Sab,43831.65
2022-08-21,Min,41109.74
2022-08-22,Sen,51621.58
2022-08-23,Sel,53120.43
2022-08-24,Rab,53199.56
2022-08-25,Kam,54233.87
2022-08-26,Jum,52897.9
2022-08-27,Sab,44830.19
2022-08-28,Min,42517.67
2022-08-29,Sen,51830.17
2022-08-30,Sel,52928.26
2022-08-31,Rab,53593.93
2022-09-01,Kam,52978.26
2022-09-02,Jum,53415.82
2022-09-03,Sab,46297.55
2022-09-04,Min,43439.04
2022-09-05,Sen,55051.92
2022-09-06,Sel,55565.97
2022-09-07,Rab,55139.08
2022-09-08,Kam,55919.51
2022-09-09,Jum,53335.69
2022-09-10,Sab,45044.09
2022-09-11,Min,41890.42
2022-09-12,Sen,52237.04
2022-09-13,Sel,55042.47
2022-09-14,Rab,54683.79
2022-09-15,Kam,55811.17
2022-09-16,Jum,55733.42
2022-09-17,Sab,47695.47
2022-09-18,Min,45206.5
2022-09-19,Sen,54674.32
2022-09-20,Sel,53832.63
2022-09-21,Rab,53398.61
2022-09-22,Kam,53495.08
2022-09-23,Jum,52804.34
2022-09-24,Sab,45858.23
2022-09-25,Min,43018.32
2022-09-26,Sen,56138.28
2022-09-27,Sel,55467.1
2022-09-28,Rab,54772.61
2022-09-29,Kam,54736.22
2022-09-30,Jum,53843.92
2022-10-01,Sab,49328.55
2022-10-02,Min,45244.09
2022-10-03,Sen,44888.45
2022-10-04,Sel,54196.42
2022-10-05,Rab,57027.57
2022-10-06,Kam,56416.41
2022-10-07,Jum,54872.4
2022-10-08,Sab,47854.48
2022-10-09,Min,44080.04
2022-10-10,Sen,56068.04
2022-10-11,Sel,55492.48
2022-10-12,Rab,54887.96
2022-10-13,Kam,55111.94
2022-10-14,Jum,54209.61
2022-10-15,Sab,46993.08
2022-10-16,Min,44922.96
2022-10-17,Sen,54724.02
2022-10-18,Sel,56371.87
2022-10-19,Rab,55513.02
2022-10-20,Kam,57139.38
2022-10-21,Jum,54656.63
2022-10-22,Sab,46378.99
2022-10-23,Min,43707.69
2022-10-24,Sen,56111.37
2022-10-25,Sel,56012.05
2022-10-26,Rab,55455.25
2022-10-27,Kam,55649.68
2022-10-28,Jum,54543.45
2022-10-29,Sab,46192.63
2022-10-30,Min,42411.11
2022-10-31,Sen,47608.09
2022-11-01,Sel,49110.73
2022-11-02,Rab,56907.69
2022-11-03,Kam,58455.3
2022-11-04,Jum,55956.48
2022-11-05,Sab,48662.93
2022-11-06,Min,47269.51
2022-11-07,Sen,57998.85
2022-11-08,Sel,58176.67
2022-11-09,Rab,58205.93
2022-11-10,Kam,58506.71
2022-11-11,Jum,57380.21
2022-11-12,Sab,47911.17
2022-11-13,Min,45010.12
2022-11-14,Sen,57163.34
2022-11-15,Sel,57421.7
2022-11-16,Rab,59084.97
2022-11-17,Kam,59673.18
2022-11-18,Jum,58200.82
2022-11-19,Sab,50223.41
2022-11-20,Min,46848.34
2022-11-21,Sen,57983.28
2022-11-22,Sel,60330.86
2022-11-23,Rab,59245.29
2022-11-24,Kam,58868.2
2022-11-25,Jum,57496.03
2022-11-26,Sab,48923.53
2022-11-27,Min,47671.65
2022-11-28,Sen,60010.35
2022-11-29,Sel,59456.28
2022-11-30,Rab,59452.9
2022-12-01,Kam,59918.86
2022-12-02,Jum,60450.9
2022-12-03,Sab,52402.04
2022-12-04,Min,49701.84
2022-12-05,Sen,60233.65
2022-12-06,Sel,60165.08
2022-12-07,Rab,60978.02
2022-12-08,Kam,60739.17
2022-12-09,Jum,60032.12
2022-12-10,Sab,52305.57
2022-12-11,Min,50671.66
2022-12-12,Sen,61514.01
2022-12-13,Sel,63177.87
2022-12-14,Rab,63562.01
2022-12-15,Kam,63062.86
2022-12-16,Jum,61428.19
2022-12-17,Sab,55192.8
2022-12-18,Min,53041.17
2022-12-19,Sen,61595.08
2022-12-20,Sel,59645.74
2022-12-21,Rab,56535.8
2022-12-22,Kam,55550.62
2022-12-23,Jum,50861.2
2022-12-24,Sab,43623.19
2022-12-25,Min,41846.29
2022-12-26,Sen,43777.95
2022-12-27,Sel,49823.5
2022-12-28,Rab,50370.62
2022-12-29,Kam,49245.15
2022-12-30,Jum,48427.12
2022-12-31,Sab,44418.3
2023-01-01,Min,41071.67
2023-01-02,Sen,52105.83
2023-01-03,Sel,54002.45
2023-01-04,Rab,58356.22
2023-01-05,Kam,55516.31
2023-01-06,Jum,53142.6
2023-01-07,Sab,48042.54
2023-01-08,Min,46838.43
2023-01-09,Sen,57971.78
2023-01-10,Sel,60024.24
2023-01-11,Rab,61013.94
2023-01-12,Kam,62262.2
2023-01-13,Jum,60544.34
2023-01-14,Sab,52855.29
2023-01-15,Min,50996.05
2023-01-16,Sen,60614.03
2023-01-17,Sel,61683.66
2023-01-18,Rab,61204.1
2023-01-19,Kam,62616.23
2023-01-20,Jum,60039.39
2023-01-21,Sab,53977.14
2023-01-22,Min,50637.68
2023-01-23,Sen,59899.93
2023-01-24,Sel,59775.6
2023-01-25,Rab,60630.79
2023-01-26,Kam,62312.02
2023-01-27,Jum,60921.16
2023-01-28,Sab,52492.89
2023-01-29,Min,51044.75
2023-01-30,Sen,62417.94
2023-01-31,Sel,61898.13
2023-02-01,Rab,62191.09
2023-02-02,Kam,62098.38
2023-02-03,Jum,61420.39
2023-02-04,Sab,51292.56
2023-02-05,Min,49325.11
2023-02-06,Sen,59264.93
2023-02-07,Sel,60247.08
2023-02-08,Rab,61197.96
2023-02-09,Kam,62538.07
2023-02-10,Jum,61179.58
2023-02-11,Sab,52994.91
2023-02-12,Min,47872.04
2023-02-13,Sen,57924.89
2023-02-14,Sel,58137.95
2023-02-15,Rab,58786.54
2023-02-16,Kam,59400.53
2023-02-17,Jum,59351.97
2023-02-18,Sab,50936.94
2023-02-19,Min,47070.29
2023-02-20,Sen,57158.34
2023-02-21,Sel,57704.31
2023-02-22,Rab,57271.44
2023-02-23,Kam,57696.22
2023-02-24,Jum,58307.15
2023-02-25,Sab,52903.03
2023-02-26,Min,48897.43
2023-02-27,Sen,57543.95
2023-02-28,Sel,58279.61
2023-03-01,Rab,58253.5
2023-03-02,Kam,58300.43
2023-03-03,Jum,57705.92
2023-03-04,Sab,52168.61
2023-03-05,Min,48034.99
2023-03-06,Sen,58099.36
2023-03-07,Sel,60406.64
2023-03-08,Rab,58283.71
2023-03-09,Kam,57033.03
2023-03-10,Jum,57770.49
2023-03-11,Sab,50999.87
2023-03-12,Min,47437.17
2023-03-13,Sen,58781.9
2023-03-14,Sel,59289.25
2023-03-15,Rab,59172.14
2023-03-16,Kam,58206.03
2023-03-17,Jum,56872.38
2023-03-18,Sab,46768.83
2023-03-19,Min,43683.36
2023-03-20,Sen,54868.34
2023-03-21,Sel,55980.9
2023-03-22,Rab,56652.8
2023-03-23,Kam,57115.42
2023-03-24,Jum,55985.17
2023-03-25,Sab,48063.9
2023-03-26,Min,45564.29
2023-03-27,Sen,56473.14
2023-03-28,Sel,57368.11
2023-03-29,Rab,56771.62
2023-03-30,Kam,57286.3
2023-03-31,Jum,55457.05
2023-04-01,Sab,49909.79
2023-04-02,Min,46511.58
2023-04-03,Sen,55197.35
2023-04-04,Sel,55329.8
2023-04-05,Rab,54950.51
2023-04-06,Kam,53935.42
2023-04-07,Jum,45087.24
2023-04-08,Sab,43820.13
2023-04-09,Min,38652.04
2023-04-10,Sen,41687.58
2023-04-11,Sel,52660.96
2023-04-12,Rab,55020.97
2023-04-13,Kam,54301.25
2023-04-14,Jum,53017.2
2023-04-15,Sab,46924.93
2023-04-16,Min,43725.39
2023-04-17,Sen,54008.99
2023-04-18,Sel,55088.36
2023-04-19,Rab,55323.4
2023-04-20,Kam,55774.23
2023-04-21,Jum,52703.79
2023-04-22,Sab,44278.97
2023-04-23,Min,41200.69
2023-04-24,Sen,54016.71
2023-04-25,Sel,55327.78
2023-04-26,Rab,54660.26
2023-04-27,Kam,53834.57
2023-04-28,Jum,52961.55
2023-04-29,Sab,45485.63
2023-04-30,Min,40508.17
2023-05-01,Sen,41285.37
2023-05-02,Sel,53256.38
2023-05-03,Rab,53186.34
2023-05-04,Kam,53537.29
2023-05-05,Jum,54376.77
2023-05-06,Sab,46011.75
2023-05-07,Min,43108.82
2023-05-08,Sen,53670.32
2023-05-09,Sel,54804.75
2023-05-10,Rab,55017.01
2023-05-11,Kam,54568.72
2023-05-12,Jum,53137.93
2023-05-13,Sab,44483.71
2023-05-14,Min,41044.27
2023-05-15,Sen,52206.62
2023-05-16,Sel,54487.02
2023-05-17,Rab,53473.33
2023-05-18,Kam,41258.8
2023-05-19,Jum,45928.81
2023-05-20,Sab,43336.58
2023-05-21,Min,41583.0
2023-05-22,Sen,52124.39
2023-05-23,Sel,53596.06
2023-05-24,Rab,52442.01
2023-05-25,Kam,52364.86
2023-05-26,Jum,50874.8
2023-05-27,Sab,41206.6
2023-05-28,Min,37507.37
2023-05-29,Sen,38695.0
2023-05-30,Sel,49582.81
2023-05-31,Rab,51817.24
